card_name,card_en,position,한줄_키워드,해설_텍스트,어드바이스,럭키_에너지,생성시각
마법사,The Magician,정위치,갓생 메이커,"유니버스가 너에게 모든 툴을 다 줬어! 4원소의 에너지를 손에 쥔 너는 지금 무한한 가능성 그 자체야. 네가 상상하는 대로 현실이 만들어지는 마법 같은 바이브가 흐르고 있거든. 준비는 이미 끝났어. 너만의 유니크한 재능을 세상에 보여주기만 하면 돼. 지금 이 순간, 네가 바로 이 구역의 주인공이자 창조주야!",망설이지 말고 바로 'Start' 버튼 눌러봐. 네 직관과 능력을 믿고 셀프러브 가득 담아 프로젝트를 시작하기 딱 좋은 타이밍이야.,"선명한 레드, 수성(Mercury)",2026-03-07 10:56:50
바보,The Fool,역위치,잠시 멈춤 버튼,"지금 유니버스가 당신에게 '잠깐 리셋 타임!'이라는 시그널을 보내고 있어요. 역위치 바보는 무모한 돌진 대신, 내면의 바이브를 재정비하라는 힙한 경고등이에요. 무작정 GO 하기보다 나만의 속도로 에너지를 리딩해 보세요. 서두르지 않아도 당신의 갓생 서사는 럭키비키하게 이어질 테니까요. 지금은 셀프러브를 통해 내실을 다질 타이밍!",신발 끈을 다시 묶듯 계획을 점검해 보세요. 무리한 약속보다는 나만의 시성비 좋은 휴식을 선택하는 것이 오늘의 정답!,"파스텔 화이트, 고요함",2026-03-07 11:11:35
소드 2,2 of Swords,역위치,안대 해제 완료,"눈을 가렸던 안대를 드디어 벗어던지는 타이밍! 그동안 고민만 하느라 멈춰있던 에너지가 리셋되고 있어. 유니버스가 보내는 시그널은 명확해. 이제 복잡한 생각은 로그아웃하고, 네 직관이 이끄는 대로 폼나게 움직여봐. 혼란스러웠던 안개 속에서 진짜 네 추구미를 발견하게 될 거야. 이 결정의 주인공은 바로 너라는 걸 잊지 마!",결정 장애는 이제 그만! 가장 먼저 떠오른 선택지를 믿고 갓생 직진해봐. 셀프러브를 바탕으로 한 네 선택이 곧 정답이니까.,"투명한 유리, 결단력",2026-03-07 11:21:11
컵 3,3 of Cups,정위치,찐친 시너지,너의 텐션과 딱 맞는 소울메이트들과의 도파민 파티 바이브! 유니버스가 '함께 즐겨!'라고 보내는 강렬한 축하 시그널이야. 혼자 고민하던 일도 맘 맞는 친구들과 수다 떨다 보면 정답이 툭 튀어나오는 마법 같은 순간이 올 거야. 서로의 성장을 응원하는 건강한 커뮤니티 안에서 너의 존재감이 더 빛나는 폼 미친 하루!,지금 당장 단톡방에 '오늘 번개?'라고 날려봐. 맛있는 디저트와 함께 에너지를 쉐어하며 셀프러브 타임을 가지는 게 오늘의 갓생 포인트!,"로즈 핑크, 축제",2026-03-07 11:27:45
전차,The Chariot,정위치,갓생 직진,"지금 당신의 에너지 리딩은 '풀 액셀' 그 자체! 유니버스가 보내는 시그널은 명확해요. 앞뒤 재지 말고 본인의 확신을 믿고 나아가라는 것. 흑과 백의 스핑크스를 조종하듯 서로 다른 고민들 사이에서 중심을 잡고 나아가는 당신의 모습, 폼 미쳤다! 장애물은 이미 당신의 성장을 위한 발판일 뿐이에요. 승리 깃발 꽂는 소리가 여기까지 들려요.",우유부단함은 이제 삭제! 오늘만큼은 셀프러브 가득 담아 내가 결정한 길을 믿으세요. 주도권을 꽉 잡을 때 최고의 바이브가 나옵니다.,"로열 블루, 불의 추진력",2026-03-07 13:08:23
완드 10,10 of Wands,정위치,갓생 과부하,"혼자서 10개의 완드를 다 끌어안고 달리는 중이군요? 책임감 만렙인 당신의 에너지는 인정하지만, 지금은 '갓생' 뒤에 숨겨진 번아웃 주의보를 체크할 타이밍! 유니버스가 보내는 시그널은 명확해요. 무거운 짐을 내려놓고 숨을 골라도 당신의 가치는 변하지 않아요. 열심히 달려온 당신, 이제는 '셀프러브' 모드로 전환해 에너지를 정화해야 할 때입니다.",완벽주의는 잠시 OFF! 우선순위가 낮은 일은 과감히 '삭제'하거나 주변에 도움을 요청하세요. 혼자 다 하려다가는 소중한 당신의 바이브가 깨질 수 있어요.,딥 블루 & 휴식,2026-03-07 13:12:22
운명의수레바퀴,Wheel of Fortune,역위치,갓생 리부트,"지금 잠시 멈춘 것 같은 기분? 그건 유니버스가 너에게 준 '일시정지' 버튼이야! 억지로 수레바퀴를 돌리려 애쓰지 마. 지금은 외부의 바이브에 휘둘리기보다 네 안의 중심을 잡아야 할 타이밍이거든. 운명이 잠깐 숨을 고르는 동안 너만의 고유한 에너지를 리딩해봐. 이건 정체가 아니라, 더 높은 텐션으로 도약하기 위한 빌드업 과정일 뿐이야.",외부 시그널에 일희일비 금지! 오늘은 오로지 '셀프러브'에 집중하며 에너지를 충전해봐. 무리한 계획보다는 루틴을 정비하는 게 최고의 폼이야.,인디고 블루 / 고요함,2026-03-07 13:15:24
바보,The Fool,정위치,설레는 시작,지금 네 에너지를 리딩해보면 완전 프레시한 바이브 그 자체! 유니버스가 너에게 '하고 싶은 거 다 해'라는 시그널을 보내고 있어. 보이지 않는 길이라도 겁먹지 마. 넌 지금 그 자체로 빛나는 자유로운 영혼이니까! 리스크보다는 가능성에 집중하면 럭키비키한 우연이 너를 갓생의 길로 안내할 거야. 가벼운 발걸음으로 네 세상을 넓혀봐.,복잡한 생각은 NO! 그냥 네 직감을 믿고 첫 발을 내딛어봐. 셀프러브를 기반으로 한 무모함은 언제나 정답이니까. 오늘부터 1일인 거야!,스카이 블루 / 호기심,2026-03-07 13:16:24
완드 시종,Page of Wands,역위치,에너지 정비,지금 당장 불꽃이 튀지 않는다고 불안해할 필요 전혀 없어! 이건 유니버스가 보낸 '잠깐만 대기' 시그널이야. 열정 과부하로 폼이 무너지기 전에 잠시 바이브를 고르는 시간일 뿐이거든. 섣부르게 움직이기보다 네 안의 작은 불씨를 소중히 다뤄주는 셀프러브가 필요한 타이밍! 에너지를 제대로 리딩하고 다시 시작하면 더 갓생 살 수 있어.,계획이 꼬여도 '오히려 좋아' 마인드 장착하기! 성급한 행동보다는 네 추구미를 다시 점검하며 텐션의 완급 조절을 해봐.,파스텔 옐로우 / 차분함,2026-03-07 13:16:55
완드 여왕,Queen of Wands,정위치,갓생 퀸 에너지,"지금 당신은 유니버스가 인정한 '확신의 센터' 바이브예요. 뜨거운 태양처럼 밝고 당당한 에너지가 뿜어져 나오는 중! 매력 수치가 만렙이라 사람들을 끌어당기는 힘이 대단해요. 자기 주도적으로 상황을 리드하며 '셀프러브'를 실천할 때 가장 빛나요. 당신의 열정이 곧 정답이니, 남 눈치 보지 말고 당신만의 무대를 마음껏 즐겨보세요.","오늘의 주인공은 바로 당신! 가장 화려한 옷을 입고, 당신의 아이디어를 세상에 당당하게 '샤우팅' 하세요. 당신의 확신이 곧 현실이 될 거예요.",골드 & 불꽃,2026-03-07 14:19:12
